State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.97249	0.96071	0.95274	0.93980	0.93150	0.92735	0.92071	0.92370	0.93233	0.94312	0.95427	0.95676	0.95415	0.95365	0.95863	0.96742	0.97506	0.98236	0.98937	1.00365	1.01311
2	0.42430	0.42437	0.42423	0.42444	0.42451	0.42532	0.42471	0.42526	0.42594	0.42710	0.42773	0.42834	0.42877	0.42836	0.42870	0.42911	0.42911	0.43007	0.43009	0.43131	0.43261
3	5.25253	5.47231	5.59318	5.49428	5.36242	5.31847	4.96683	4.80200	4.37345	3.80204	3.40659	3.21978	3.07705	2.80231	2.74736	2.69242	2.60450	2.57153	2.56065	2.39580	2.40679
4	2.37478	2.28523	2.23509	2.32105	2.27807	2.16345	2.32463	2.18136	2.03808	1.95928	1.85190	1.75877	1.64421	1.65138	1.58690	1.44719	1.39346	1.43286	1.57263	1.53681	1.61204
5	4.22680	4.47023	4.58088	4.49236	4.86857	4.78005	4.40384	4.20467	3.51865	2.89901	2.05816	1.72620	1.79266	2.12464	2.25743	2.25743	2.43448	2.41235	2.32392	2.36818	2.52311
6	2.09267	2.02153	1.92668	2.05710	1.92075	1.88518	1.86740	1.70734	1.70141	1.57099	1.38727	1.28648	1.71340	1.87941	1.78455	1.91498	1.91498	2.01577	2.17593	2.25301	2.18779
7	3.28367	3.16410	3.21928	3.18249	3.30207	3.10891	2.78698	2.63062	2.40986	2.09713	1.74768	1.91325	2.28128	2.54804	2.80560	2.71362	2.64003	2.63083	2.79652	2.86091	3.04490
8	9.89423	10.73022	11.37572	12.06356	12.91012	13.48155	14.23288	15.07945	15.40749	14.76198	15.37637	18.60403	21.52568	23.06020	22.88029	22.25590	20.78487	19.99115	18.44679	16.88046	15.82212
9	6.84202	7.13736	7.27519	7.21612	7.42286	7.78711	7.86586	7.98400	8.30887	9.03738	9.48077	9.47093	9.64853	9.72729	10.34755	10.82998	11.07612	10.50508	10.51535	10.53505	10.14121
10	7.48766	7.77042	8.03143	8.16193	8.31962	8.42838	8.62413	8.76007	9.03196	9.28753	9.71206	10.09815	10.01155	10.25083	10.40853	10.35959	10.45204	10.33240	10.00652	9.89775	9.57689
11	4.08536	4.07172	4.09293	4.16413	4.16413	4.23381	4.29440	4.35650	4.36711	4.48829	4.42788	4.12036	3.84028	3.69787	3.55850	3.49639	3.47973	3.44640	3.50865	3.49048	3.47684
12	1.85093	1.82779	1.79186	1.75044	1.70841	1.68101	1.63655	1.61036	1.58112	1.54701	1.50018	1.43927	1.39425	1.33578	1.31020	1.28279	1.27609	1.27304	1.27065	1.27736	1.29502
13	4.18073	4.20345	4.02168	4.08984	4.83965	4.49883	4.63516	4.15801	4.02168	3.24915	3.02206	3.54468	4.40830	4.54464	4.68098	4.81732	4.09018	4.04473	4.18124	4.36303	4.34031
14	3.13562	3.08285	3.05850	3.01994	2.96311	2.92861	2.93470	2.91034	2.92252	2.97529	3.06065	2.93482	2.69543	2.58786	2.63454	2.78068	3.04048	3.24954	3.33086	3.44859	3.58255
