State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.47120	1.43153	1.38069	1.32685	1.23775	1.13606	1.00746	0.84406	0.67515	0.54560	0.49838	0.50263	0.54654	0.62006	0.70364	0.79337	0.87901	0.95252	1.01422	1.06696	1.11009
2	0.41198	0.40901	0.40506	0.40020	0.39373	0.38622	0.37457	0.36195	0.34473	0.32907	0.32279	0.32298	0.32939	0.33994	0.34810	0.35600	0.36331	0.36875	0.37386	0.37729	0.38033
3	5.50343	6.20178	6.92098	8.07795	9.61015	11.67394	14.13380	17.11483	19.24115	20.74208	21.35705	23.18110	26.70413	27.64221	25.55758	22.44106	18.84507	15.83278	12.73710	11.02770	9.32873
4	3.02383	3.43494	3.92419	4.34209	5.10994	5.74529	6.50634	6.65923	6.38403	5.20507	4.29452	4.36927	5.33418	6.18357	6.60487	6.56070	6.15299	5.59919	5.23225	4.72262	4.29452
5	2.81282	2.87579	3.61048	4.21923	5.05887	7.15799	10.34865	16.77195	27.28853	41.98235	52.22605	50.23189	35.49608	23.27921	15.49149	10.22270	7.38889	5.56266	4.15625	3.14868	2.79183
6	3.96437	4.17805	4.60542	5.29707	6.99529	9.19397	12.41045	15.98119	16.45355	12.72535	8.03558	10.71786	15.63818	14.42356	10.36360	6.35424	4.24553	3.30083	2.72164	2.24367	2.14807
7	3.33283	3.76034	4.25765	5.33078	6.98847	9.62333	14.34338	23.26001	38.54565	57.37352	67.79952	59.37147	38.07452	20.03187	10.57432	6.17708	4.05698	2.98384	2.23352	1.87581	1.55299
8	5.57085	5.60097	5.88202	6.71514	7.50811	8.49179	9.31487	10.26844	11.23205	12.29603	13.20945	14.11283	14.69501	14.37381	13.50054	12.07520	10.66994	9.81675	9.34498	9.20446	9.28476
9	7.61054	8.18950	8.83383	9.02059	9.17934	9.16067	9.01126	7.78797	5.41609	2.82010	1.97034	3.53914	8.07745	12.96127	14.60477	14.44602	13.85772	13.00796	12.10216	10.74814	9.88904
10	1.69694	1.66083	1.74336	1.50094	1.39263	1.29978	1.17599	0.91810	0.82010	0.59831	0.57252	0.52610	0.61379	0.73758	1.00579	1.26368	1.54736	1.76399	2.02189	2.25915	2.42420
11	1.47276	1.40379	1.27735	1.16384	1.02734	0.86641	0.69974	0.56037	0.43967	0.39369	0.35490	0.36065	0.42243	0.62790	1.00722	1.44258	1.83915	2.14807	2.41389	2.65815	2.83488
12	0.78917	0.75450	0.71811	0.68633	0.63838	0.56963	0.48355	0.38881	0.31370	0.25478	0.24149	0.25766	0.36339	0.61932	0.89316	1.14620	1.29294	1.39058	1.47781	1.53790	1.58989
13	1.25003	1.40090	1.44400	1.42245	1.42245	1.53021	1.63797	1.57331	1.44400	1.48711	1.63797	1.78884	2.28454	3.79320	4.37511	3.94406	3.87940	3.72854	3.25439	2.82334	2.84490
14	6.59924	6.72052	6.79560	6.77057	6.50876	5.99283	5.01103	3.64229	2.24852	1.13196	0.75656	0.88940	1.77109	3.16679	4.49511	5.41145	5.76182	5.83113	5.77337	5.69444	5.45766
