state (Emission order)	Genome %	CpGIsland.mm9.bed.gz	RefSeqExon.mm9.bed.gz	RefSeqGene.mm9.bed.gz	RefSeqTES.mm9.bed.gz	RefSeqTSS.mm9.bed.gz	RefSeqTSS2kb.mm9.bed.gz
1	24.50295	0.04393	0.93492	1.14346	0.95426	0.49838	0.97736
2	59.59134	0.01923	0.33542	0.67051	0.42780	0.32279	0.38990
3	0.37005	62.92828	8.70775	1.61336	3.40715	21.35705	16.44127
4	1.13526	3.12803	2.88617	1.22249	1.85220	4.29452	5.50744
5	0.18375	93.79808	9.87914	1.47146	2.05849	52.22605	16.35565
6	0.68593	9.74515	2.32012	1.11608	1.38749	8.03558	7.98828
7	0.44209	81.16205	7.58443	1.32300	1.74797	67.79952	16.95527
8	0.38427	19.36931	8.93864	1.60029	15.37887	13.20945	8.80074
9	0.41305	3.62461	5.71039	1.64277	9.48231	1.97034	8.24424
10	0.74781	0.27444	7.41597	2.07249	9.71364	0.57252	1.23109
11	2.68446	0.07959	4.40030	2.35756	4.42708	0.35490	1.08277
12	6.67645	0.06705	2.24538	2.41928	1.49981	0.24149	0.70631
13	0.17897	3.21242	4.69451	2.18886	3.02255	1.63797	2.32708
14	2.00360	0.37786	2.42649	1.34932	3.05912	0.75656	4.36896
Base	100	0.39434	2.41302	36.88239	0.00093	0.00098	3.43206
