state (Emission order)	RNAPII_S2P	RNAPII_S7P	RNAPII_S5P	RNAPII_8WG16	RING1B	SUZ12	H2Aub1
1	0.0021821149120497124	0.0011917900053515092	4.282529099350339E-4	4.8209528820094313E-4	0.005113690237306354	0.024266478603365987	0.002356876247236253
2	9.957483746156376E-4	2.298504486690112E-4	9.020747342888712E-5	1.3088822391699306E-4	0.0011424026781331146	0.003085706838049578	0.0013151766180793118
3	0.0027029197296730683	0.013855847841614822	0.22656549311382934	0.05004598226823964	0.9942313165281029	0.9913393461255101	0.4254551708025561
4	0.004929797170656824	0.00846290329482899	0.025485645267134375	0.030440121570511607	0.3272894620511693	0.35850138493314765	0.015909020510063807
5	0.046480896411740746	0.4030781284388254	0.38710841490925807	0.9169017270076288	0.8781184811714149	0.8987803106070075	0.1413451624976291
6	0.02717888768543222	0.1587147444472157	0.16178329493122906	0.7817972733555775	0.3148385614983081	0.10941788926915844	0.007075974130444177
7	0.15485947927525145	0.8851516909878137	0.7909276685715582	0.9999999999553807	0.5178714001216311	0.29366416973971554	0.006655540952577034
8	0.9770708318726478	0.9079645839074783	0.8642465483709024	0.9288158568188682	0.17710384135849325	0.09798833502319573	0.002575452741566518
9	0.5489315465740376	0.30444671421858044	0.17184860738790936	0.5332359363903895	0.025987993665652263	0.02591801800536609	0.001998040348907665
10	0.8917361196672381	0.3756982920249521	0.3039851397896007	0.05628351856069879	0.0147131663789356	0.017784572806200098	0.004616660422563481
11	0.38553370527339614	0.05970610263291965	0.03203893421394595	0.0035829957231188338	0.00404224665817361	0.008473589874860167	0.004465968826723332
12	0.06862024646941002	0.00985047800947878	0.005068033831741099	5.892338847591688E-4	0.003636876895704917	0.00865788677068256	0.002849728208403967
13	0.32134549352021236	0.17050702791512243	0.24584305160408756	0.1097570121659186	0.26987564761698946	0.15994531111793003	0.009198713536525785
14	0.028279229336227927	0.023018269117250596	0.011678002441388412	0.01837295908708316	0.026006951219436292	0.023459406905372907	0.001222421848616586
