14	7	E	-4323147.286966812	200
probinit	1	0.03547561084911862
probinit	2	0.9190670545975894
probinit	3	0.0
probinit	4	2.069735899034189E-96
probinit	5	0.04545733455329201
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	2.3067654875319183E-275
probinit	13	0.0
probinit	14	1.3831403664247728E-131
transitionprobs	1	1	0.9803997118849153
transitionprobs	1	2	5.621320565584213E-4
transitionprobs	1	3	0.0
transitionprobs	1	4	0.014799150445819698
transitionprobs	1	5	7.231554425995823E-5
transitionprobs	1	6	0.002213968726651866
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	3.784643024147372E-5
transitionprobs	1	11	4.739044861307334E-5
transitionprobs	1	12	4.617893714317494E-4
transitionprobs	1	13	0.0
transitionprobs	1	14	0.001405695091508692
transitionprobs	2	1	2.250488042207318E-4
transitionprobs	2	2	0.9986094378736177
transitionprobs	2	3	0.0
transitionprobs	2	4	8.460940518825975E-4
transitionprobs	2	5	1.0585636375804598E-5
transitionprobs	2	6	2.0145585296753633E-4
transitionprobs	2	7	9.212824066074245E-6
transitionprobs	2	8	2.395374356378939E-7
transitionprobs	2	9	3.3896985359891356E-6
transitionprobs	2	10	0.0
transitionprobs	2	11	1.0319174501003156E-5
transitionprobs	2	12	8.177049757285646E-5
transitionprobs	2	13	0.0
transitionprobs	2	14	2.4460488240963153E-6
transitionprobs	3	1	0.0
transitionprobs	3	2	0.0
transitionprobs	3	3	0.8555063299116196
transitionprobs	3	4	0.11331580826087267
transitionprobs	3	5	0.031103931160489314
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	7.393066701844326E-5
transitionprobs	3	14	0.0
transitionprobs	4	1	0.23396961810084932
transitionprobs	4	2	0.03284019795053693
transitionprobs	4	3	0.02742237725953733
transitionprobs	4	4	0.6675553118305019
transitionprobs	4	5	0.022898665135781888
transitionprobs	4	6	0.008792408691018334
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	3.7270121682059665E-5
transitionprobs	4	11	0.0
transitionprobs	4	12	2.28155675250693E-4
transitionprobs	4	13	9.836118852060637E-5
transitionprobs	4	14	0.0061576340463208356
transitionprobs	5	1	0.005729231733881657
transitionprobs	5	2	0.003463029842614906
transitionprobs	5	3	0.05652724838363777
transitionprobs	5	4	0.193142147935436
transitionprobs	5	5	0.6614058712571595
transitionprobs	5	6	0.050885369834037464
transitionprobs	5	7	0.013110478222387768
transitionprobs	5	8	4.221111204127893E-4
transitionprobs	5	9	6.0816261999404656E-5
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	3.713079787297266E-5
transitionprobs	5	13	0.007999971345679275
transitionprobs	5	14	0.007216593264880528
transitionprobs	6	1	0.07383761943712232
transitionprobs	6	2	0.01659686354897372
transitionprobs	6	3	0.0
transitionprobs	6	4	0.02076050846013446
transitionprobs	6	5	0.013283484579943593
transitionprobs	6	6	0.5299722437490222
transitionprobs	6	7	0.1301902047693907
transitionprobs	6	8	0.0
transitionprobs	6	9	1.1960616375163265E-4
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	0.01591338876780374
transitionprobs	6	13	0.002512105777684364
transitionprobs	6	14	0.1968139747461734
transitionprobs	7	1	8.274666554395099E-4
transitionprobs	7	2	4.3593790995374583E-4
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	0.006978963958125836
transitionprobs	7	6	0.21397252682668294
transitionprobs	7	7	0.6909825608010894
transitionprobs	7	8	0.023668343097258918
transitionprobs	7	9	0.03844331176525137
transitionprobs	7	10	0.0
transitionprobs	7	11	1.750753043825562E-4
transitionprobs	7	12	0.005534631641754207
transitionprobs	7	13	0.00764716064371344
transitionprobs	7	14	0.011334021396347975
transitionprobs	8	1	0.0
transitionprobs	8	2	1.4157175019912694E-4
transitionprobs	8	3	0.0
transitionprobs	8	4	0.0
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0
transitionprobs	8	7	0.027223974350309287
transitionprobs	8	8	0.7989507149507464
transitionprobs	8	9	0.10127541351144409
transitionprobs	8	10	0.0686392340501191
transitionprobs	8	11	0.001498850830712823
transitionprobs	8	12	9.206881343030928E-5
transitionprobs	8	13	0.001319873096488915
transitionprobs	8	14	8.582986465498859E-4
transitionprobs	9	1	0.0
transitionprobs	9	2	3.716417304162562E-4
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0010707443661902066
transitionprobs	9	7	0.04027146054171491
transitionprobs	9	8	0.0883054589094114
transitionprobs	9	9	0.7314520819741447
transitionprobs	9	10	6.57280995708387E-5
transitionprobs	9	11	0.06543971031932481
transitionprobs	9	12	0.0019447627158988197
transitionprobs	9	13	2.0671869997730333E-4
transitionprobs	9	14	0.07087169264335079
transitionprobs	10	1	0.0013815311199171444
transitionprobs	10	2	1.8842239011631586E-5
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	0.03418300670918758
transitionprobs	10	9	1.2569604466177803E-4
transitionprobs	10	10	0.8834399587214374
transitionprobs	10	11	0.08013373031762601
transitionprobs	10	12	0.0
transitionprobs	10	13	7.167943330684189E-4
transitionprobs	10	14	4.4051509006202294E-7
transitionprobs	11	1	0.0
transitionprobs	11	2	3.091728103515816E-4
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	0.0
transitionprobs	11	7	3.2053961717379975E-7
transitionprobs	11	8	2.5142061269338336E-4
transitionprobs	11	9	0.010749864774567089
transitionprobs	11	10	0.023331330425129963
transitionprobs	11	11	0.9398432126586298
transitionprobs	11	12	0.013667357018865392
transitionprobs	11	13	0.01096307053404647
transitionprobs	11	14	8.842506260990224E-4
transitionprobs	12	1	0.0017151835675334255
transitionprobs	12	2	6.668628300011535E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	2.613426936077389E-5
