state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.9803997118849153	5.621320565584213E-4	0.0	0.014799150445819698	7.231554425995823E-5	0.002213968726651866	0.0	0.0	0.0	3.784643024147372E-5	4.739044861307334E-5	4.617893714317494E-4	0.0	0.001405695091508692
2	2.250488042207318E-4	0.9986094378736177	0.0	8.460940518825975E-4	1.0585636375804598E-5	2.0145585296753633E-4	9.212824066074245E-6	2.395374356378939E-7	3.3896985359891356E-6	0.0	1.0319174501003156E-5	8.177049757285646E-5	0.0	2.4460488240963153E-6
3	0.0	0.0	0.8555063299116196	0.11331580826087267	0.031103931160489314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.393066701844326E-5	0.0
4	0.23396961810084932	0.03284019795053693	0.02742237725953733	0.6675553118305019	0.022898665135781888	0.008792408691018334	0.0	0.0	0.0	3.7270121682059665E-5	0.0	2.28155675250693E-4	9.836118852060637E-5	0.0061576340463208356
5	0.005729231733881657	0.003463029842614906	0.05652724838363777	0.193142147935436	0.6614058712571595	0.050885369834037464	0.013110478222387768	4.221111204127893E-4	6.0816261999404656E-5	0.0	0.0	3.713079787297266E-5	0.007999971345679275	0.007216593264880528
6	0.07383761943712232	0.01659686354897372	0.0	0.02076050846013446	0.013283484579943593	0.5299722437490222	0.1301902047693907	0.0	1.1960616375163265E-4	0.0	0.0	0.01591338876780374	0.002512105777684364	0.1968139747461734
7	8.274666554395099E-4	4.3593790995374583E-4	0.0	0.0	0.006978963958125836	0.21397252682668294	0.6909825608010894	0.023668343097258918	0.03844331176525137	0.0	1.750753043825562E-4	0.005534631641754207	0.00764716064371344	0.011334021396347975
8	0.0	1.4157175019912694E-4	0.0	0.0	0.0	0.0	0.027223974350309287	0.7989507149507464	0.10127541351144409	0.0686392340501191	0.001498850830712823	9.206881343030928E-5	0.001319873096488915	8.582986465498859E-4
9	0.0	3.716417304162562E-4	0.0	0.0	0.0	0.0010707443661902066	0.04027146054171491	0.0883054589094114	0.7314520819741447	6.57280995708387E-5	0.06543971031932481	0.0019447627158988197	2.0671869997730333E-4	0.07087169264335079
10	0.0013815311199171444	1.8842239011631586E-5	0.0	0.0	0.0	0.0	0.0	0.03418300670918758	1.2569604466177803E-4	0.8834399587214374	0.08013373031762601	0.0	7.167943330684189E-4	4.4051509006202294E-7
11	0.0	3.091728103515816E-4	0.0	0.0	0.0	0.0	3.2053961717379975E-7	2.5142061269338336E-4	0.010749864774567089	0.023331330425129963	0.9398432126586298	0.013667357018865392	0.01096307053404647	8.842506260990224E-4
12	0.0017151835675334255	6.668628300011535E-4	0.0	2.613426936077389E-5	8.24973532888544E-6	0.001460015655567972	3.8225168155898884E-4	0.0	1.0671505945771708E-4	0.0	0.0054027533903239595	0.9817667795959185	0.006991810392941322	0.001473243822007458
13	3.329146972929909E-6	0.0	0.0	8.807062558003273E-4	0.005419724532739134	0.004360315026339572	0.015332130087862944	3.851930448699416E-4	0.002165051382336803	0.002095461316248152	0.11083923053622377	0.17417085587237016	0.6020487980591253	0.08229920473911083
14	0.014762492314319748	1.847908522690957E-4	0.0	0.003979596662248962	6.647563977034955E-4	0.05965141593337042	0.002670040449087443	2.154684470549746E-4	0.013804019629800646	1.035297698428368E-4	5.610461768907796E-4	0.0027189235518802115	0.009931177801827003	0.8907527420137044
